date,equity,cash,position_value,total_return,positions
2026-06-12,19990.63,1728.51,18262.12,0.0,5
2026-06-13,20285.12,1728.51,18556.61,0.0143,5
2026-06-14,20285.12,1728.51,18556.61,0.0143,5
2026-06-26,21690.85,10434.59,11256.26,0.0845,3
2026-07-01,21509.33,3190.11,18319.22,0.0755,4
2026-07-02,21471.67,3190.11,18281.56,0.0736,4
2026-07-06,21483.24,2133.04,19350.2,0.0742,4
2026-07-07,21373.09,213.29,21159.8,0.0687,6
2026-07-08,20942.51,213.29,20729.22,0.0471,6
2026-07-09,20979.62,62.28,20917.34,0.049,7
2026-07-10,20998.27,208.96,20789.31,0.0499,6
