date,ticker,side,shares,price,cost,reason,proceeds,pnl,pnl_pct,holding_days
2026-06-12,JNJ,BUY,16,238.31,3814.95,INIT,,,,
2026-06-12,GE,BUY,12,332.55,3992.66,INIT,,,,
2026-06-12,JPM,BUY,12,313.54,3764.42,INIT,,,,
2026-06-12,GS,BUY,3,1035.48,3108.01,INIT,,,,
2026-06-12,CAT,BUY,4,897.41,3591.45,INIT,,,,
2026-06-26,GE,SELL,12,374.75,,TAKE_PROFIT (12.6%),4494.69,502.04,0.1257,14.0
2026-06-26,CAT,SELL,4,1053.38,,TAKE_PROFIT (17.3%),4211.39,619.94,0.1726,14.0
2026-07-01,GS,SELL,3,1015.33,,SIGNAL_SELL,3044.45,-63.56,-0.0204,19.0
2026-07-01,GE,BUY,14,374.2,5241.49,SIGNAL,,,,
2026-07-01,CAT,BUY,5,1008.98,5047.45,SIGNAL,,,,
2026-07-06,JNJ,SELL,16,263.04,,TAKE_PROFIT (10.3%),4206.46,391.51,0.1026,24.0
2026-07-06,JNJ,BUY,20,263.04,5263.53,SIGNAL,,,,
2026-07-07,CAT,SELL,5,940.08,,STOP_LOSS (-6.9%),4698.02,-349.42,-0.0692,6.0
2026-07-07,GOOGL,BUY,14,366.99,5140.5,SIGNAL,,,,
2026-07-07,META,BUY,2,615.41,1231.45,SIGNAL,,,,
2026-07-07,AMZN,BUY,1,245.7,245.83,SIGNAL,,,,
